Crowns1,Terrain1,Crowns2,Terrain2,NumberOfDomino
0,Swamp,0,Swamp,01
0,Swamp,0,Swamp,02
0,Forest,0,Forest,03
0,Forest,0,Forest,04
0,Forest,0,Forest,05
0,Forest,0,Forest,06
0,Water,0,Water,07
0,Water,0,Water,08
0,Water,0,Water,09
0,Field,0,Field,10
0,Field,0,Field,11
0,Mountain,0,Mountain,12
0,Swamp,0,Forest,13
0,Swamp,0,Water,14
0,Swamp,0,Field,15
0,Swamp,0,Mountain,16
0,Forest,0,Water,17
0,Forest,0,Field,18
1,Swamp,0,Forest,19
1,Swamp,0,Water,20
1,Swamp,0,Field,21
1,Swamp,0,Mountain,22
1,Swamp,0,Mine,23
1,Forest,0,Swamp,24
1,Forest,0,Swamp,25
1,Forest,0,Swamp,26
1,Forest,0,Swamp,27
1,Forest,0,Water,28
1,Forest,0,Field,29
1,Water,0,Swamp,30
1,Water,0,Swamp,31
1,Water,0,Forest,32
1,Water,0,Forest,33
1,Water,0,Forest,34
1,Water,0,Forest,35
0,Swamp,1,Field,36
0,Water,1,Field,37
0,Swamp,1,Mountain,38
0,Field,1,Mountain,39
1,Mine,0,Swamp,40
0,Swamp,2,Field,41
0,Water,2,Field,42
0,Swamp,2,Mountain,43
0,Field,2,Mountain,44
2,Mine,0,Swamp,45
0,Mountain,2,Mine,46
0,Mountain,2,Mine,47
0,Swamp,3,Mine,48
